         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 __init__.py:167(make_wrapper)
        5    0.000    0.000    0.000    0.000 threading.py:131(__init__)
        6    0.000    0.000    0.000    0.000 routing.py:180(parse_rule)
       50    0.000    0.000    0.000    0.000 {_sre.getlower}
       21    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 tests.py:10(<module>)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
        6    0.000    0.000    0.000    0.000 dyld.py:79(dyld_override_search)
        3    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        2    0.000    0.000    0.000    0.000 {cPickle.dumps}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        2    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        2    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 app.py:49(setupmethod)
        1    0.000    0.000    0.000    0.000 environment.py:103(Environment)
       27    0.000    0.000    0.000    0.000 lexer.py:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
       13    0.000    0.000    0.000    0.000 UserDict.py:58(get)
        1    0.000    0.000    0.000    0.000 parser.py:24(Parser)
        1    0.000    0.000    0.000    0.000 {function seed at 0x10bc5bf50}
        5    0.000    0.000    0.000    0.000 datastructures.py:59(wrap)
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
        1    0.000    0.000    7.030    7.030 serving.py:583(restart_with_reloader)
        1    0.000    0.000    0.000    0.000 wrappers.py:632(BaseResponse)
       21    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       24    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        7    0.000    0.000    0.000    0.000 threading.py:186(release)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1216(findCaller)
        1    0.000    0.000    0.000    0.000 local.py:249(LocalProxy)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:301(__init__)
       17    0.000    0.000    0.000    0.000 nodes.py:722(<genexpr>)
       23    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 routing.py:1080(add)
        1    0.000    0.000    0.000    0.000 utils.py:110(HTMLBuilder)
        1    0.000    0.000    0.000    0.000 runtime.py:280(LoopContext)
        1    0.000    0.000    0.000    0.000 {compile}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        8    0.000    0.000    0.000    0.000 dyld.py:40(dyld_env)
        1    0.000    0.000    0.000    0.000 datastructures.py:2287(Authorization)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        1    0.000    0.000    0.000    0.000 {posix.pipe}
        1    0.000    0.000    0.000    0.000 routing.py:422(Rule)
       12    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 helpers.py:652(find_package)
        1    0.000    0.000    0.000    0.000 datastructures.py:2347(WWWAuthenticate)
        2    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
        3    0.000    0.000    0.000    0.000 helpers.py:711(__init__)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:114(BaseHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 repr.py:109(DebugReprGenerator)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        3    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 decoder.py:303(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
       16    0.000    0.000    0.000    0.000 utils.py:79(internalcode)
        1    0.000    0.000    0.000    0.000 mimetypes.py:381(_default_mime_types)
        2    0.000    0.000    0.000    0.000 __init__.py:1250(_log)
        2    0.000    0.000    0.001    0.000 app.py:53(wrapper_func)
        6    0.000    0.000    0.000    0.000 _compat.py:73(implements_to_string)
       26    0.000    0.000    0.000    0.000 lexer.py:135(<lambda>)
       49    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 wrappers.py:1525(CommonRequestDescriptorsMixin)
        1    0.000    0.000    0.000    0.000 environment.py:850(Template)
        2    0.000    0.000    0.000    0.000 __init__.py:311(getMessage)
        9    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
       16    0.000    0.000    0.000    0.000 defaults.py:43(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(_URLTuple)
        1    0.000    0.000    0.000    0.000 collections.py:387(Counter)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        1    0.000    0.000    0.000    0.000 itsdangerous.py:627(JSONWebSignatureSerializer)
        2    0.000    0.000    0.000    0.000 utils.py:307(_postinit)
        1    0.000    0.000    0.000    0.000 subprocess.py:647(Popen)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 local.py:88(LocalStack)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 datastructures.py:832(Headers)
        1    0.000    0.000    0.000    0.000 wrappers.py:30(Request)
        1    0.000    0.000    0.000    0.000 routing.py:1023(__init__)
        1    0.000    0.000    0.000    0.000 serving.py:67(WSGIRequestHandler)
        5    0.000    0.000    0.000    0.000 threading.py:113(RLock)
        1    0.000    0.000    0.000    0.000 security.py:36(_find_hashlib_algorithms)
        1    0.000    0.000    0.000    0.000 tbtools.py:198(Traceback)
        1    0.000    0.000    0.001    0.001 util.py:76(find_library)
        6    0.000    0.000    0.000    0.000 framework.py:22(framework_info)
        1    0.000    0.000    0.000    0.000 subprocess.py:1343(_internal_poll)
        6    0.000    0.000    0.000    0.000 runtime.py:208(_all)
        1    0.000    0.000    0.000    0.000 wrappers.py:1349(ETagResponseMixin)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 routing.py:985(Map)
        1    0.000    0.000    0.000    0.000 loaders.py:37(BaseLoader)
        1    0.000    0.000    0.000    0.000 datastructures.py:2211(ContentRange)
        1    0.000    0.000    0.000    0.000 wrappers.py:1248(ETagRequestMixin)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        9    0.000    0.000    0.000    0.000 signals.py:18(signal)
        1    0.000    0.000    0.001    0.001 dylib.py:6(<module>)
        3    0.000    0.000    0.000    0.000 local.py:53(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 bank.py:1(Bank)
        2    0.000    0.000    0.000    0.000 __init__.py:1140(info)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 blueprints.py:79(Blueprint)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 pprint.py:84(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
       14    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 warnings.py:339(__enter__)
        9    0.000    0.000    0.000    0.000 signals.py:28(__init__)
        1    0.000    0.000    0.000    0.000 httplib.py:680(HTTPConnection)
       49    0.000    0.000    0.000    0.000 {intern}
        5    0.000    0.000    0.000    0.000 _compat.py:68(implements_iterator)
        1    0.000    0.000    0.000    0.000 tempfile.py:372(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 runtime.py:90(Context)
